,id,author_id,created_at,text
0,1551696294023921664,2260491445,2022-07-25T22:30:00.000Z,"Did you miss the hot #crypto stuff this weekend? #CMC Podcast has got you covered! 🎙️ 

From #Tesla selling off 75$ of its #Bitcoin to Minecraft banning #NFTs &amp; many more! 

https://t.co/lKYpF0TenX"
1,1551658545124241408,2260491445,2022-07-25T20:00:00.000Z,"After 20 years, 1 USD equals 1 €. 

👉 The euro-dollar parity means not only cheaper holidays for Americans, but will also have macroeconomic consequences and implications for #crypto.  

https://t.co/qDXHFTE5kl"
2,1551628350850056192,2260491445,2022-07-25T18:00:01.000Z,".@TopGoal_NFT is a football #metaverse P2E game that 
partners with world-class football players &amp; institutions to provide fans with the best #NFT collectibles! 🚀

Join the TopGoal #CMC-Airdrop campaign &amp; build your fantasy squad! 

👉 Details: 
https://t.co/NqgFmydiAn https://t.co/PIuEnSY6fP"
3,1551598158207238147,2260491445,2022-07-25T16:00:02.000Z,"Watching the chart while discussing it in the same tab? 👀

It is undoubtedly possible with #CMCCommunity! No need to switch youar windows for different purposes as #CMCY makes it easier for #crypto conversations ☁️

👉 Sign up today: https://t.co/vHI1wrzF17"
4,1551530201200328704,2260491445,2022-07-25T11:30:00.000Z,"Stagflation - the boogeyman of policymakers and the middle class alike. 🫢 

Let's cover the definition of stagflation and see if it has any effect on #crypto with @CMCAlexandria 👇 

https://t.co/sTt853tCC9"
5,1551511835571937281,2260491445,2022-07-25T10:17:01.000Z,"#CMCCommunity Spotlight ✨

Hybrid Theory: The Rise of Hybrid Decentralised Exchanges!

@OnomyProtocol $NOM #crypto #CoinMarketCap #CMC #CMCY 

https://t.co/i7mwFehOAx"
6,1551484905393094657,2260491445,2022-07-25T08:30:01.000Z,"#CMCCommunity Spotlight ✨ 

Enjin Announces Partnership With Square Enix to Make Branded Tokenized Collectibles Available Using Efinity! 

@efinityio $EFI #Crypto #CoinMarketCap #CMC #CMCY 

https://t.co/4AYVGnlkh7"
7,1551473002805481472,2260491445,2022-07-25T07:42:43.000Z,What are we #BUIDLing today? 👀 https://t.co/rOcyeByYwo
8,1551231732816302083,2260491445,2022-07-24T15:44:00.000Z,"Track Your Cryptocurrency Portfolio for Free on #CMC!! 🔥

📈 Take Control of Your Assets
🕵🏻‍♀️ Track more than 10,000 #Crypto
⚡️ Real-Time Price Data Trusted by over +1.2 Million Users Worldwide
💸 100% Free of Charge

Details: https://t.co/55PmlezUD9 https://t.co/kx0opk8uYw"
9,1551147427129970688,2260491445,2022-07-24T10:09:00.000Z,The second token in your portfolio? 👀
10,1551101373726576642,2260491445,2022-07-24T07:06:00.000Z,"What is stagflation and how does it differentiate from inflation from recessions? 👀 

Let's go over the concept of stagflation in detail and find out its impact on the economy with @CMCAlexandria 💪 

https://t.co/pESK7pk6l7"
11,1551054573451845632,2260491445,2022-07-24T04:00:02.000Z,"Is the 2022 #Crypto market worse than 2018? 👀 

Let's take a look at the differences between the 2018 bear market and the current market drawdown. 

https://t.co/k2oxKhcbjy"
12,1551016313216086017,2260491445,2022-07-24T01:28:00.000Z,"Wondering what to get your loved ones on their special occasions? 🎁 

What about #crypto gift cards? 💳 

Here are some of the good options we have for you! 

https://t.co/EzaHV3uUAk"
13,1550935782730391552,2260491445,2022-07-23T20:08:00.000Z,"Still feeling like a boss 😎 
#themcryptofeels https://t.co/IptBe0yopr"
14,1550870603242115072,2260491445,2022-07-23T15:49:00.000Z,"Stick to the real ones! 😎 

Make sure you follow the real #CMC Social Channels &amp; be aware of scams! ❌ 

https://t.co/c07RZbaYiQ"
15,1550836126235201538,2260491445,2022-07-23T13:32:00.000Z,Do you call yourself a true #HODLer? 👀
16,1550763899942834181,2260491445,2022-07-23T08:45:00.000Z,"With inflation hitting 40-year highs and hyperinflation a consistent problem in numerous countries, could #stablecoins provide a way for people to store their money and avoid devaluation? 👀

https://t.co/Myhsh7XqhA"
17,1550730681164054528,2260491445,2022-07-23T06:33:00.000Z,"If you are holding some $CRO in your wallet, you may want to check out staking opportunities available for the token.👀 

Let #CMC walk you through the how-to 👇

https://t.co/MvpmooZpRP"
18,1550691422394875906,2260491445,2022-07-23T03:57:00.000Z,"""With #CMCCommunity, #CMC wants to address the knowledge gap of audiences beyond the numerical data provided by their platform"", shared @RushLuton 💪

Know more about #CMC exclusive social platform for #crypto lovers👇
https://t.co/nCsN33r7MW 

👉Sign up: https://t.co/vHI1wrzF17"
19,1550571382211330048,2260491445,2022-07-22T20:00:00.000Z,"#CMC Listing Is #FREE!!! 🔥

It is ALWAYS FREE. Listings are free. 
🔈One more time — #CoinMarketCap listings are always free! 

Only SCAMMERS will ask for payment. Please follow the proper #Listing procedures. 

👉 Details: https://t.co/vEnpsPgsMT"
20,1550488336376033281,2260491445,2022-07-22T14:30:00.000Z,Anyone relates? 👴 https://t.co/rhHOd5FKBI
21,1550448572277014528,2260491445,2022-07-22T11:52:00.000Z,"A lot of newcomers to #crypto hear that staking is an easy way to make a nice passive income without risk. 

But is that true? 🫣

Let #CMC help you out with some extra knowledge on how staking works! 

https://t.co/jlLWnt23XZ"
22,1550417869871222784,2260491445,2022-07-22T09:50:00.000Z,How do you make money on #blockchain?
23,1550387670907588610,2260491445,2022-07-22T07:50:00.000Z,"Ever wondered how decentralized exchanges (#DEX) process trades and discover prices? 👀

Unlike traditional exchanges, a DEX uses an automated market maker (AMM) to enable a fluid trading system that borders on autonomy, liquidity and automation.

https://t.co/zof3wXedxU"
24,1550257312178135040,2260491445,2022-07-21T23:12:00.000Z,"In the latest incident, Zeneca's Twitter profile was compromised — and a post directed unsuspecting victims to a fake airdrop.👀 

Always double-check, folks! 

https://t.co/pF4NMaNjvd"
25,1550208997499756544,2260491445,2022-07-21T20:00:01.000Z,"Supply Chain needs #Blockchain! 

Modern supply chains lack transparency &amp; end-to-end visibility, which leads to errors, delays, and increased costs. 
#Blockchain can help produce some solutions. 💪 

https://t.co/0w43E3HGqG"
26,1550141046809673728,2260491445,2022-07-21T15:30:00.000Z,"#HODL #Shill #BUYTHEDIP #Rekt #FUD #Whale #WhenLambo

Want to use these hashtags without people looking at you weird? 👀

#CoinMarketCap’s #CMCCommunity is the place to find people who understand exactly what you mean!  

😎 Sign up today: https://t.co/vHI1wrzF17 https://t.co/6ecao8QcNR"
